stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
88976,88976,S. FLORES & DOLOROSA,,29.423775,-98.49471,,,,,,0
89867,89867,ST. MARY'S & COMMERCE,,29.425003,-98.491372,0,,,,,0
89926,89926,LYNHAVEN & E. HOUSTON,,29.423775,-98.396284,,,,,,0
89963,89963,MARKET & S. ST. MARY'S,,29.423983,-98.491712,,,,,,0
91283,91283,HILDEBRAND & SHOOK,E Hildebrand Ave & Shook Ave,29.466473,-98.487323,,,,,,0
91827,91827,SAN PEDRO & NAKOMA,,29.548825,-98.489146,,,,,,0
92129,92129,TIMBER VIEW & CULEBRA,,29.468224,-98.647254,,,,,,0
92323,92323,SPRING TIME & BABCOCK,Spring Time Dr & Babcock Rd,29.552153,-98.61594,,,,,,0
93936,93936,JONES-MALTSBERGER OPPOSITE TEAKWOOD,Jones-maltsberger Rd & Teakwood Ln,29.505026,-98.481704,,,,,,0
95423,95423,NACO PASS & UHR LN.,,29.550577,-98.41047,,,,,,0
95613,95613,DONALDSON & WILSON,,29.464028,-98.540612,,,,,,0
95893,95893,THOUSAND OAKS OPP. PARK OAKS-SHOP.CNTR.,Thousand Oaks Dr & Unnamed,29.592089,-98.471907,,,,,,0
97679,97679,E. COMMERCE OPPOSITE HONEY,,29.420953,-98.43418,,,,,,0
97937,97937,NOGALITOS & CENTENNIAL,,29.37606,-98.533057,,,,,,0
98527,98527,PECAN VALLEY BET. PECAN VALLEY CIRC,,29.378223,-98.43205,,,,,,0
99256,99256,MCCULLOUGH & HILDEBRAND,,29.466401,-98.491751,,,,,,0
99683,99683,NAKOMA BETWEEN WARFIELD & HETTLER,E Nakoma St & E Nakoma St,29.550276,-98.49061,,,,,,0
99816,99816,S. NEW BRAUNFELS & E. COMMERCE,S New Braunfels Ave & Montana St,29.419356,-98.461192,,,,,,0
99893,99893,Historic Old Highway 90 & Acme,,29.420372,-98.587651,,,,,,0
12487,12487,MERTON-MINTER & MELROSE-HOLMGREEN,,29.503416,-98.580564,,,,,,0
56127,56127,N Flores & Fredericksburg,,29.442589,-98.503968,0,,,,,0
33339,33339,USAA BLVD & FREDERICKSBURG RD,Usaa Blvd & Princeton Pl,29.53718,-98.579252,,,,,,0
33343,33343,USAA BLVD & FREDERICKSBURG RD.,,29.537194,-98.578801,,,,,,0
12486,12486,MERTON-MINTER OPP MELROSE-HOLMGREEN,,29.50328,-98.580585,,,,,,0
27283,27283,LOCKHILL-SELMA & AULDINE,,29.542516,-98.529952,,,,,,0
53637,53637,SPRINGVALE BET. HWY. 90 W & EAGLE R,,29.397243,-98.644033,,,,,,0
11429,11429,MARBACH IN FRONT OF HEB PLUS,,29.417941,-98.651414,,,,,,0
94697,94697,CHERRY & E. COMMERCE,,29.421846,-98.476237,,,,,,0
97673,97673,E. COMMERCE BETWEEN GAY & HONEY,,29.420413,-98.435778,,,,,,0
99157,99157,ST MARYS BTWN MARKET & VILLITA,,29.423397,-98.491856,0,,,,,0
65767,65767,FRIO & RUIZ,,29.434664,-98.506429,,,,,,0
59256,59256,MCCULLOUGH & CONTOUR,,29.485195,-98.491693,,,,,,0
92196,92196,Wurzbach between Merton Minter & Medical Dr,,29.509282,-98.580453,0,,,,,0
89269,89269,W COMMERCE & CALAVERAS,,29.427953,-98.524489,,,,,,0
56426,56426,N. LAREDO OPPOSITE LOMBRANO,N Laredo St & Lombrano St,29.441212,-98.503845,,,,,,0
45246,45246,AUSTIN HWY. & VANDIVER,,29.489792,-98.442034,,,,,,0
92747,92747,COKER LOOP W OPPOSITE 8144,,29.549024,-98.484874,,,,,,0
69949,69949,HIDDEN RD. & VILLAGE DR.,,29.519541,-98.427436,,,,,,0
89826,89826,S. NEW BRAUNFELS & ADA,,29.381056,-98.461202,,,,,,0
91769,91769,INGRAM & BENRUS,,29.464002,-98.585143,,,,,,0
68976,68976,BROADWAY & CHEEVER,Broadway St & Cheever Blvd,29.519138,-98.462192,,,,,,0
76597,76597,WW WHITE RD & SINCLAIR,,29.387233,-98.40462,,,,,,0
91616,91616,NW LOOP 410 N ACCESS RD AT HOLMES HS,,29.465189,-98.619162,,,,,,0
82736,82736,NW LOOP 410 E ACCESS RD & PEACE PIPE,Nw I-410-loop & Peace Pipe Dr,29.469019,-98.615556,,,,,,0
54663,54663,SE MILITARY DR. BETWEEN ROOSEVELT & MISSION,Se Military Dr & Tx-13-loop,29.353819,-98.477004,,,,,,0
82997,82997,Wurzbach between Chet Todd Pkwy & Medical Dr,,29.510561,-98.580305,0,,,,,0
28533,28533,LOCKHILL-SELMA & WEDGEWOOD DR.,,29.541407,-98.528569,,,,,,0
